id,y1,x1,y2,x2,d (Haversine formula),d WGS84
1,-33.94923969,18.59019892,0.7729389999999999,52.342611,5226781.533908981,4807546.987488277
2,-33.94923969,18.59019892,-3.153333,52.628611,4914795.167826824,4625104.652245458
3,-33.94923969,18.59019892,-0.6166670000000001,52.072222,5088238.99990639,4714549.035059443
4,-33.94923969,18.59019892,-2.056944,51.668056,4936654.282630527,4609680.376597708
5,-33.94923969,18.59019892,-5.1775,50.331667,4577221.350988201,4347559.891121887
6,-33.94923969,18.59019892,-5.230833,50.001167,4548545.782039958,4319502.274052754
7,-33.94923969,18.59019892,-0.29722200000000004,50.835556,5028953.020577921,4646038.155940728
8,-33.94923969,18.59019892,-1.3884859999999999,53.394256,5118252.315643509,4770094.529360104
9,-33.94923969,18.59019892,-0.46138900000000005,51.4775,5059552.884675162,4681245.04000307
10,-33.94923969,18.59019892,-3.413889,50.734444,4754502.435498527,4469904.69226413
11,-33.94923969,18.59019892,-0.368333,51.874722,5095542.707330541,4713931.031525729
12,-33.94923969,18.59019892,-1.252747,54.048911,5177669.532516209,4825135.147486676
13,-33.94923969,18.59019892,-6.331111,58.215556,5099183.22090502,4943331.86329327
14,-33.94923969,18.59019892,-0.8475,51.323889,5015481.47179488,4649596.160631051
15,-33.94923969,18.59019892,-3.43575,51.404811,4801318.9430387365,4518638.415386685
16,-33.94923969,18.59019892,-3.560636,57.649386,5266301.04643929,5002979.372303058
17,-33.94923969,18.59019892,-1.0335,51.187167,4989840.917795221,4629930.502193366
18,-33.94923969,18.59019892,0.131944,52.090833,5153817.371631303,4755791.738257282
19,-33.94923969,18.59019892,-0.5663330000000001,53.719667,5211007.830925093,4834973.042334501
20,-33.94923969,18.59019892,-4.5353390000000005,53.248097,4847834.935693326,4606315.81822547
21,-33.94923969,18.59019892,-6.215833,54.6575,4822895.988371736,4645293.339764213
22,-33.94923969,18.59019892,-1.748028,52.453856,5019534.706620176,4682950.092874911
23,-33.94923969,18.59019892,-2.977778,53.178056,4970089.830306357,4675486.037796356
24,-33.94923969,18.59019892,-4.123575,52.811744,4848465.551380593,4591725.36286026
25,-33.94923969,18.59019892,-5.399667,56.4635,5029197.645365503,4830182.93463194
26,-33.94923969,18.59019892,-1.660569,53.865897,5130233.2565058,4791606.359816268
27,-33.94923969,18.59019892,-4.340278,53.104167,4852790.707626485,4604200.734604947
28,-33.94923969,18.59019892,-2.286389,51.439083,4900727.691564324,4580985.660448876
29,-33.94923969,18.59019892,0.5506920000000001,52.648353,5229152.800286693,4816695.664917932
30,-33.94923969,18.59019892,-1.479722,52.369722,5036109.426821256,4690637.3847174095
31,-33.94923969,18.59019892,0.154167,51.721667,5129825.396018232,4731546.71475592
32,-33.94923969,18.59019892,-1.031944,52.607778,5091191.943510926,4730969.838681801
33,-33.94923969,18.59019892,-5.686389,55.437222,4925662.080924456,4732682.94710583
34,-33.94923969,18.59019892,-0.942825,51.234139,5000954.374407048,4638143.467530322
35,-33.94923969,18.59019892,-1.790028,51.682167,4960326.020538679,4624719.651128082
36,-33.94923969,18.59019892,-0.16601400000000002,53.093014,5199568.010794992,4810365.161588636
37,-33.94923969,18.59019892,-0.550833,53.307778,5182430.946269359,4806007.279227742
38,-33.94923969,18.59019892,0.055278,51.505278,5106145.278101625,4711307.631655648
39,-33.94923969,18.59019892,-1.1955,53.834333,5166655.01710543,4812084.037600299
40,-33.94923969,18.59019892,-1.8425,50.78,4891576.242170369,4557281.337411356
41,-33.94923969,18.59019892,-3.339169,57.705214,5288048.447595533,5016527.401115816
42,-33.94923969,18.59019892,-4.556944,52.115278,4760744.075296423,4516502.234081747
43,-33.94923969,18.59019892,-4.067833,51.605333,4763275.208230111,4501566.884254043
44,-33.94923969,18.59019892,-1.747414,51.152189,4926116.865017701,4588931.985551608
45,-33.94923969,18.59019892,-6.256667,55.681944,4900759.298319148,4729494.840441023
46,-33.94923969,18.59019892,-1.382094,54.205522,5178478.669562941,4830475.143008022
47,-33.94923969,18.59019892,-3.025833,56.452499,5214948.731843202,4928667.87124349
48,-33.94923969,18.59019892,-4.586667,55.509444,5017725.274242011,4785445.52382138
49,-33.94923969,18.59019892,-5.255711,50.086092,4552686.5569113875,4324699.6570987925
50,-33.94923969,18.59019892,-2.668042,52.798169,4967639.55420371,4662000.785062739
51,-33.94923969,18.59019892,-1.079167,52.92,5109743.869305321,4751088.045941303
52,-33.94923969,18.59019892,0.6955560000000001,51.571388999999996,5166318.521616045,4750960.471301306
53,-33.94923969,18.59019892,-4.37355,53.258619,4861767.550843872,4614765.835324463
54,-33.94923969,18.59019892,-0.6487689999999999,52.735711,5132902.872070393,4759964.969098166
55,-33.94923969,18.59019892,-0.5616249999999999,52.962225,5156584.031757375,4780658.634248018
56,-33.94923969,18.59019892,-1.5836169999999998,51.749964,4982738.419001856,4640475.325660819
57,-33.94923969,18.59019892,-4.995408,50.440558,4600383.529689197,4365291.514824607
58,-33.94923969,18.59019892,-3.234722,50.86,4778709.103257655,4488624.194498044
59,-33.94923969,18.59019892,-4.0475,57.5425,5219842.357144891,4974534.18322268
